			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
	SHUT|out.the|TUR|bu.lent|TIDES|but.at|STAT|ed|SEA|sons.the|FLOOD.GATES			5			1				
	SHUT|out.the|TUR|bu|LENT|tides|BUT|at|STAT|ed|SEA|sons|THE|flood|GATES			1		2	1	3			
	shut|OUT|the|TUR|bu|LENT|tides|BUT|at|STAT|ed|SEA|sons|THE|flood|GATES					3		4			
	SHUT|out.the|TUR|bu.lent|TIDES|but.at|STAT|ed|SEA|sons|THE|flood|GATES			3		1	3	1			
	SHUT|out.the|TUR|bu|LENT|tides|BUT|at|STAT|ed|SEA|sons.the|FLOOD.GATES			3		1	2	2			
	SHUT|out.the|TUR|bu|LENT|tides|BUT|at|STAT|ed|SEA|sons.the|FLOOD|gates			2		2	2	2			
	shut|OUT|the|TUR|bu.lent|TIDES|but.at|STAT|ed|SEA|sons|THE|flood|GATES			2		2	2	2			
	shut|OUT|the|TUR|bu|LENT|tides|BUT|at|STAT|ed|SEA|sons.the|FLOOD.GATES			2		2	1	3			
	shut|OUT|the|TUR|bu|LENT|tides|BUT|at|STAT|ed|SEA|sons.the|FLOOD|gates			1		3	1	3			
	SHUT|out.the|TUR|bu.lent|TIDES|but|AT.STAT|ed|SEA|sons|THE|flood|GATES			3		1	2	1	1		
	shut|OUT|the|TUR|bu.lent|TIDES|but|AT.STAT|ed|SEA|sons|THE|flood|GATES			2		2	1	2	1		
	shut|OUT|the|TUR|bu.lent|TIDES|but.at|STAT|ed|SEA|sons.the|FLOOD.GATES			4		1	3	1			
	shut|OUT|the|TUR|bu.lent|TIDES|but.at|STAT|ed|SEA|sons.the|FLOOD|gates			3		2	3	1			
	shut|OUT|the|TUR|bu.lent|TIDES|but|AT.STAT|ed|SEA|sons.the|FLOOD|gates			3		2	2	1	1		
	SHUT|out|THE|tur|BU|lent|TIDES|but|AT.STAT|ed|SEA|sons|THE|flood|GATES		1	1		2		3	1		1
	SHUT|out.the|TUR|bu.lent|TIDES|but.at|STAT|ed.sea|SONS|the.flood|GATES		1	5		2		1			1
	SHUT|out|THE|tur|BU|lent|TIDES|but|AT.STAT|ed|SEA|sons.the|FLOOD.GATES		1	3		1	1	2	1		1
	SHUT|out|THE|tur|BU|lent|TIDES|but|AT.STAT|ed|SEA|sons.the|FLOOD|gates		1	2		2	1	2	1		1
Opened, and welcomed the sea to wander at will o'er the meadows.	OPE|ned.and|WEL|comed.the|SEA|to|WAN|der.at|WILL|o'er.the|MEAD|ows [*Bounded]	2		4		1	2	1			
	OPE|ned.and|WEL|comed.the|SEA|to|WAN|der|AT|will|O'ER|the|MEAD|ows			2		1	2	1			
	OPE|ned|AND|wel|COMED|the|SEA|to|WAN|der|AT|will|O'ER|the|MEAD|ows		1			2		3			1
	OPE|ned.and|WEL|comed.the|SEA|to|WAN|der.at|WILL|o'er.the|MEAD.OWS			5			1	1			1
	ope|NED|and|WEL|comed.the|SEA|to|WAN|der|AT|will|O'ER|the|MEAD|ows		1	1		2	1	2			1
	OPE|ned.and|WEL|comed.the|SEA|to|WAN|der|AT|will|O'ER|the|MEAD.OWS			3			2	1	1		1
	OPE|ned|AND|wel|COMED|the|SEA|to|WAN|der|AT|will|O'ER|the|MEAD.OWS		1	1		1		3	1		2
	ope|NED|and|WEL|comed.the|SEA|to|WAN|der|AT|will|O'ER|the|MEAD.OWS		1	2		1	1	2	1		2
West and south there were fields of flax, and orchards and cornfields	WEST|and|SOUTH|there.were|FIELDS|of|FLAX|and|OR|chards.and|CORN|fields	2		2		1	2				
	WEST|and|SOUTH|there.were|FIELDS|of|FLAX|and|OR|chards|AND|corn|FIELDS			1		1	1	1			
	WEST|and|SOUTH|there.were|FIELDS|of|FLAX|and|OR|chards.and|CORN.FIELDS			3			2				
	west|AND|south|THERE|were|FIELDS|of|FLAX|and|OR|chards|AND|corn|FIELDS					3		3			
	west|AND|south|THERE|were|FIELDS|of|FLAX|and|OR|chards.and|CORN.FIELDS			2		2	1	2			
	west|AND|south|THERE|were|FIELDS|of|FLAX|and|OR|chards.and|CORN|fields			1		3	1	2			
Spreading afar and unfenced o'er the plain; and away to the northward	SPREAD|ing.af|AR|and.un|FENCED|o'er.the|PLAIN|and.aw|AY|to.the|NORTH|ward	2		5			1				
	SPREAD|ing.af|AR|and.un|FENCED|o'er.the|PLAIN|and.aw|AY|to.the|NORTH.WARD			6				1			1
	SPREAD|ing.af|AR|and.un|FENCED|o'er|THE|plain|AND|aw|AY|to.the|NORTH|ward			3		1	3	2			
	SPREAD|ing|AF|ar|AND|un|FENCED|o'er|THE|plain|AND|aw|AY|to.the|NORTH|ward		1	1		2	1	4			1
	SPREAD|ing.af|AR|and.un|FENCED|o'er|THE|plain|AND|aw|AY|to|THE.NORTH|ward			3		1	2	3	1		
	spread|ING|af|AR|and.un|FENCED|o'er.the|PLAIN|and.aw|AY|to.the|NORTH|ward		1	4		1	3	1			1
	SPREAD|ing|AF|ar|AND|un|FENCED|o'er.the|PLAIN|and.aw|AY|to.the|NORTH|ward		1	3		1	3	2			1
	SPREAD|ing.af|AR|and.un|FENCED|o'er.the|PLAIN|and.aw|AY|to|THE|north|WARD		1	4		1	2	2			1
	spread|ING|af|AR|and.un|FENCED|o'er|THE|plain|AND|aw|AY|to.the|NORTH|ward		1	2		2	2	3			1
	SPREAD|ing|AF|ar|AND|un|FENCED|o'er|THE|plain|AND|aw|AY|to|THE.NORTH|ward		1	1		2		5	1		1
	SPREAD|ing.af|AR|and.un|FENCED|o'er|THE|plain|AND|aw|AY|to|THE|north|WARD		1	2		2	2	4			1
	SPREAD|ing|AF|ar|AND|un|FENCED|o'er.the|PLAIN|and.aw|AY|to|THE.NORTH|ward		1	3		1	2	3	1		1
	spread|ING|af|AR|and.un|FENCED|o'er|THE|plain|AND|aw|AY|to|THE.NORTH|ward		1	2		2	1	4	1		1
	spread|ING|af|AR|and.un|FENCED|o'er.the|PLAIN|and.aw|AY|to.the|NORTH.WARD		1	5		1	2	2			2
	SPREAD|ing|AF|ar|AND|un|FENCED|o'er|THE|plain|AND|aw|AY|to|THE|north|WARD		2			3		6			2
	SPREAD|ing|AF|ar|AND|un|FENCED|o'er.the|PLAIN|and.aw|AY|to|THE|north|WARD		2	2		2	2	4			2
	spread|ING|af|AR|and.un|FENCED|o'er|THE|plain|AND|aw|AY|to|THE|north|WARD		2	1		3	1	5			2
	spread|ING|af|AR|and|UN|fenced|O'ER|the|PLAIN|and|AW|ay|TO|the|NORTH|ward		3			3		5			3
	spread|ING|af|AR|and.un|FENCED|o'er.the|PLAIN|and.aw|AY|to|THE|north|WARD		2	3		2	3	3			2
Blomidon rose, and the forests old, and aloft on the mountains	BLO|mi.don|ROSE|and.the|FORE|sts|OLD|and.alo|FT|on.the|MOUN|tains	2		4			2				
	BLO|mi|DON|rose|AND|the|FORE|sts|OLD|and.alo|FT|on.the|MOUN|tains			2		1	2	2			
	BLO|mi.don|ROSE|and.the|FORE|sts|OLD|and.alo|FT|on.the|MOUN.TAINS			5			1	1			1
	BLO|mi|DON|rose|AND|the|FORE|sts|OLD|and|ALO|ft|ON|the|MOUN|tains		1			2		4			1
	BLO|mi|DON|rose|AND|the|FORE|sts|OLD|and.alo|FT|on|THE.MOUN|tains			2		1	1	3	1		
	BLO|mi.don|ROSE|and.the|FORE|sts|OLD|and|ALO|ft|ON|the|MOUN|tains		1	2		1	2	2			1
	blo|MI|don|ROSE|and.the|FORE|sts|OLD|and.alo|FT|on.the|MOUN|tains		1	3		1	3	1			1
	blo|MI|don|ROSE|and.the|FORE|sts|OLD|and|ALO|ft|ON|the|MOUN|tains		2	1		2	1	3			2
	blo|MI|don|ROSE|and.the|FORE|sts|OLD|and.alo|FT|on|THE.MOUN|tains		1	3		1	2	2	1		1
Sea-fogs pitched their tents, and mists from the mighty Atlantic	SEA|fogs|PITCHED|their|TENTS|and|MISTS|from.the|MIG|hty.at|LA|ntic	2		2		1	2				
	SEA|fogs|PITCHED|their|TENTS|and|MISTS|from|THE|mig|HTY|at|LA|ntic		1			2		2			1
	SEA|fogs|PITCHED|their|TENTS|and|MISTS|from.the|MIG|hty|AT.LA|ntic			2		1	1	1	1		1
	sea|FOGS|pitched|THEIR|tents|AND|mists|FROM|the|MIG|hty.at|LA|ntic			1		4	1	3			
	sea|FOGS|pitched|THEIR|tents|AND|mists|FROM|the|MIG|hty|AT.LA|ntic			1		4		4	1		1
Looked on the happy valley, but ne'er from their station descended.	LOOKED|on.the|HAP|py|VAL|ley.but|NE'ER|from.their|STA|tion.de|SCEND|ed	2		4			2				
	LOOKED|on.the|HAP|py|VAL|ley|BUT|ne'er|FROM|their|STA|tion.de|SCEND|ed			2		1	2	2			
	looked|ON|the|HAP|py|VAL|ley|BUT|ne'er|FROM|their|STA|tion.de|SCEND|ed			1		2	1	3			
	looked|ON|the|HAP|py|VAL|ley.but|NE'ER|from.their|STA|tion.de|SCEND|ed			3		1	3	1			
	LOOKED|on.the|HAP|py|VAL|ley.but|NE'ER|from.their|STA|tion.de|SCEND.ED			5			1	1			1
	LOOKED|on.the|HAP|py|VAL|ley|BUT|ne'er|FROM|their|STA|tion|DE.SCEND|ed			2		1	1	3	1		1
	looked|ON|the|HAP|py|VAL|ley|BUT|ne'er|FROM|their|STA|tion|DE.SCEND|ed			1		2		4	1		1
	looked|ON|the|HAP|py|VAL|ley.but|NE'ER|from.their|STA|tion|DE.SCEND|ed			3		1	2	2	1		1
	LOOKED|on.the|HAP|py|VAL|ley|BUT|ne'er|FROM|their|STA|tion|DE|scend|ED		1	1		2	1	4			2
	looked|ON|the|HAP|py|VAL|ley|BUT|ne'er|FROM|their|STA|tion|DE|scend|ED		1			3		5			2
	LOOKED|on.the|HAP|py|VAL|ley.but|NE'ER|from.their|STA|tion|DE|scend|ED		1	3		1	3	2			2
	looked|ON|the|HAP|py|VAL|ley.but|NE'ER|from.their|STA|tion|DE|scend|ED		1	2		2	2	3			2
There, in the midst of its farms, reposed the Acadian village.	there|IN|the|MIDST|of.its|FARMS|re|POSED|the.aca|DI|an|VIL|lage			2	1		2				
	there|IN|the|MIDST|of.its|FARMS|re|POSED|the.ac|AD|ia.n|VIL|lage			3			3				
	THERE|in|THE|midst|OF|its|FARMS|re|POSED|the.aca|DI|an|VIL|lage			1	1	1	1	3			
	there|IN|the|MIDST|of.its|FARMS|re|POSED|the.ac|AD|ia|N.VIL|lage			3			2	1	1		
	THERE|in|THE|midst|OF|its|FARMS|re|POSED|the.ac|AD|ia.n|VIL|lage			2		1	2	3			
	there|IN|the|MIDST|of.its|FARMS|re|POSED|the|AC|ad|IA|n|VIL|lage		1	1		1	1	2			2
	there|IN|the|MIDST|of|ITS|farms|RE|posed|THE|aca|DI|an|VIL|lage		1		1	2		3			1
	there|IN|the|MIDST|of.its|FARMS|re|POSED|the.ac|AD|ia|N|vil|LAGE		1	2		1	2	2			1
	there|IN|the|MIDST|of|ITS|farms|RE|posed|THE|ac|AD|ia.n|VIL|lage		1	1		2	1	3			1
	THERE|in|THE|midst|OF|its|FARMS|re|POSED|the.ac|AD|ia|N.VIL|lage			2		1	1	4	1		
	THERE|in|THE|midst|OF|its|FARMS|re|POSED|the|AC|ad|IA|n|VIL|lage		1			2		5			2
	there|IN|the|MIDST|of|ITS|farms|RE|posed|THE|ac|AD|ia|N.VIL|lage		1	1		2		4	1		1
Strongly built were the houses, with frames of oak and of hemlock,	STRONG|ly|BUILT|were.the|HOUS|es.with|FRAMES|of|OAK|and.of|HEM|lock	2		3		1	3				
	STRONG|ly|BUILT|were.the|HOUS|es.with|FRAMES|of|OAK|and.of|HEM.LOCK			4			2				1
	STRONG|ly|BUILT|were.the|HOUS|es|WITH|frames|OF|oak|AND|of|HEM|lock			1		3	1	3			
	STRONG|ly|BUILT|were.the|HOUS|es.with|FRAMES|of|OAK|and|OF|hem|LOCK		1	2		1	2	1			1
	STRONG|ly|BUILT|were|THE|hous|ES|with|FRAMES|of|OAK|and.of|HEM|lock		1	1		2	1	2			1
	STRONG|ly|BUILT|were.the|HOUS|es.with|FRAMES|of|OAK|and|OF.HEM|lock			3		1	2	1	1		
	STRONG|ly|BUILT|were|THE|hous|ES|with|FRAMES|of|OAK|and.of|HEM.LOCK		1	2		1	1	2			2
	STRONG|ly|BUILT|were|THE|hous|ES|with|FRAMES|of|OAK|and|OF|hem|LOCK		2			2		3			2
	STRONG|ly|BUILT|were|THE|hous|ES|with|FRAMES|of|OAK|and|OF.HEM|lock		1	1		2		3	1		1
	STRONG|ly|BUILT|were.the|HOUS|es.with|FRAMES|of.oak|AND|of.hem|LOCK		1	4		2	1	1			1
	STRONG|ly|BUILT|were.the|HOUS|es|WITH|frames|OF|oak|AND|of|HEM.LOCK			2		2	1	3	1		1
	strong|LY|built|WERE|the|HOUS|es|WITH|frames|OF|oak|AND|of|HEM|lock		1			5		5			1
Such as the peasants of Normandy built in the reign of the Henries.	such|AS|the|PEAS|ants.of|NOR|man|DY|built|IN|the|REIGN|of.the|HEN|ries			2		1	2	2			
	such|AS|the|PEAS|ants.of|NOR|man.dy|BUILT|in.the|REIGN|of.the|HEN|ries			4			3	1			
	such|AS|the|PEAS|ants.of|NOR|man.dy|BUILT.IN|the|REIGN|of.the|HEN|ries			4			3	1			
	such|AS|the|PEAS|ants.of|NOR|man|DY|built|IN|the|REIGN|of|THE.HEN|ries			2		1	1	3	1		
	such|AS|the|PEAS|ants|OF|nor|MAN|dy|BUILT|in|THE|reign|OF|the|HEN|ries		1			2		5			1
	such|AS|the|PEAS|ants.of|NOR|man.dy|BUILT.IN|the|REIGN|of|THE.HEN|ries			4			2	2	1		
	such|AS|the|PEAS|ants.of|NOR|man.dy|BUILT|in.the|REIGN|of.the|HEN.RIES			5			2	2			1
	SUCH|as|THE|peas|ANTS|of|NOR|man|DY|built|IN|the|REIGN|of.the|HEN|ries		1	1		2	1	4			1
	such|AS|the|PEAS|ants.of|NOR|man|DY|built|IN|the|REIGN|of|THE|hen|RIES		1	1		2	1	4			1
Thatched were the roofs, with dormer-windows; and gables projecting	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows.and|GAB|les.pro|JECT|ing	1		3			3				
	thatched|WERE|the|ROOFS|with|DOR|mer|WIN|dows.and|GAB|les.pro|JECT|ing			2		1	2	1			
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows|AND|gab|LES|pro|JECT|ing		1	1		1	1	2			1
	thatched|WERE|the|ROOFS|with|DOR|mer|WIN|dows|AND|gab|LES|pro|JECT|ing		1			2		3			1
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows.and|GAB|les.pro|JECT.ING			4			2	1			1
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows.and|GAB|les|PRO.JECT|ing			3			2	1	1		1
	thatched|WERE|the|ROOFS|with|DOR|mer|WIN|dows.and|GAB|les|PRO.JECT|ing			2		1	1	2	1		1
Over the basement below protected and shaded the doorway.	OV|er.the|BASE|ment.be|LOW|pro|TECT|ed.and|SHAD|ed.the|DOOR|way	2		4		1	2				
	OV|er.the|BASE|ment.be|LOW|pro|TECT|ed.and|SHAD|ed.the|DOOR.WAY			5			1				1
	OV|er.the|BASE|ment.be|LOW|pro|TECT|ed.and|SHAD|ed|THE|door|WAY		1	3		1	3	1			1
	OV|er|THE|base|MENT|be|LOW|pro|TECT|ed.and|SHAD|ed.the|DOOR|way		1	2		2	2	2			1
	OV|er.the|BASE|ment.be|LOW|pro|TECT|ed|AND|shad|ED|the|DOOR|way		1	2		2	2	2			1
	ov|ER|the|BASE|ment.be|LOW|pro|TECT|ed.and|SHAD|ed.the|DOOR|way		1	3		2	3	1			1
	OV|er|THE|base|MENT|be|LOW|pro|TECT|ed.and|SHAD|ed.the|DOOR.WAY		1	3		1	2	2			2
	OV|er|THE|base|MENT|be|LOW|pro|TECT|ed.and|SHAD|ed|THE|door|WAY		2	1		2	1	3			2
	OV|er|THE|base|MENT|be|LOW|pro|TECT|ed|AND|shad|ED|the|DOOR|way		2			3		4			2
	OV|er|THE|base|MENT|be|LOW|pro|TECT|ed.and|SHAD|ed|THE.DOOR|way		1	2		2	1	3	1		1
	ov|ER|the|BASE|ment.be|LOW|pro|TECT|ed.and|SHAD|ed.the|DOOR.WAY		1	4		1	3	1			2
	ov|ER|the|BASE|ment.be|LOW|pro|TECT|ed.and|SHAD|ed|THE|door|WAY		2	2		2	2	2			2
	ov|ER|the|BASE|ment.be|LOW|pro|TECT|ed|AND|shad|ED|the|DOOR|way		2	1		3	1	3			2
	ov|ER|the|BASE|ment.be|LOW|pro|TECT|ed.and|SHAD|ed|THE.DOOR|way		1	3		2	2	2	1		1
	OV|er.the|BASE|ment.be|LOW|pro|TECT|ed|AND|shad|ED|the|DOOR.WAY		1	3		1	2	2	1		2
	OV|er|THE|base|MENT|be|LOW|pro|TECT|ed|AND|shad|ED|the|DOOR.WAY		2	1		2		4	1		3
	ov|ER|the|BASE|ment.be|LOW|pro|TECT|ed|AND|shad|ED|the|DOOR.WAY		2	2		2	1	3	1		3
There in the tranquil evenings of summer, when brightly the sunset	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer.when|BRIGHT|ly.the|SUN|set			3		1	3				
	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer|WHEN|bright|LY|the|SUN|set		1	1		2	1	1			1
	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer|WHEN.BRIGHT|ly.the|SUN|set			3		1	2		1		
	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer.when|BRIGHT|ly.the|SUN.SET			4			3				1
	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer.when|BRIGHT|ly|THE|sun|SET		1	2		1	2	1			1
	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer|WHEN.BRIGHT|ly.the|SUN.SET			4			2		1		1
	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer|WHEN.BRIGHT|ly|THE|sun|SET		1	2		1	1	1	1		1
	there|IN|the|TRAN|quil|EVE|nings.of|SUM|mer|WHEN.BRIGHT|ly|THE.SUN|set			3		1	1	1	2		
	there|IN|the|TRAN|quil|EVE|nings|OF|sum|MER|when|BRIGHT|ly.the|SUN.SET		1	2		1	1	2			2
	there|IN|the|TRAN|quil|EVE|nings|OF|sum|MER|when|BRIGHT|ly|THE|sun|SET		2			2		3			2
	there|IN|the|TRAN|quil|EVE|nings|OF|sum|MER|when|BRIGHT|ly|THE.SUN|set		1	1		2		3	1		1
Lighted the village street, and gilded the vanes on the chimneys,	LIGHT|ed.the|VIL|lage|STREET|and|GILD|ed.the|VANES|on.the|CHIM|neys	1		3			3				
	LIGHT|ed.the|VIL|lage|STREET|and|GILD|ed|THE|vanes|ON|the|CHIM|neys			1		1	1	2			
	light|ED|the|VIL|lage|STREET|and|GILD|ed|THE|vanes|ON|the|CHIM|neys		1			2		3			1
	LIGHT|ed.the|VIL|lage|STREET|and|GILD|ed.the|VANES|on|THE.CHIM|neys			3			2	1	1		
	LIGHT|ed.the|VIL|lage|STREET|and|GILD|ed.the|VANES|on.the|CHIM.NEYS			4			2	1			1
	light|ED|the|VIL|lage|STREET|and|GILD|ed.the|VANES|on.the|CHIM|neys		1	2		1	2	1			1
	light|ED|the|VIL|lage|STREET|and|GILD|ed.the|VANES|on|THE.CHIM|neys		1	2		1	1	2	1		1
Matrons and maidens sat in snow-white caps and in kirtles	MA|trons.and|MAID|ens|SAT|in|SNOW|white|CAPS|and.in|KIR|tles	2		2		1	2				
	MA|trons.and|MAID|ens|SAT|in|SNOW|white|CAPS|and|IN.KIR|tles			2		1	1		1		
	ma|TRONS|and|MAID|ens|SAT|in|SNOW|white|CAPS|and.in|KIR|tles		1	1		2	1	1			1
	MA|trons.and|MAID|ens|SAT|in|SNOW|white|CAPS|and|IN|kir|TLES		1	1		2	1	1			1
	ma|TRONS|and|MAID|ens|SAT|in|SNOW|white|CAPS|and|IN.KIR|tles		1	1		2		1	1		1
	MA|trons|AND|maid|ENS|sat|IN|snow|WHITE|caps|AND|in|KIR|tles		1			4		3			1
	ma|TRONS|and|MAID|ens|SAT|in|SNOW|white|CAPS|and|IN|kir|TLES		2			3		2			2
Scarlet and blue and green, with distaffs spinning the golden	SCAR|let.and|BLUE|and|GREEN|with|DIS|taffs|SPIN|ning.the|GOLD|en	2	1	2		1	2	1			1
	SCAR|let.and|BLUE|and|GREEN|with.dis|TAFFS.SPIN|ning.the|GOLD|en			4			2				
	SCAR|let.and|BLUE|and|GREEN|with.dis|TAFFS.SPIN|ning.the|GOLD.EN			5			1	1			1
	SCAR|let.and|BLUE|and|GREEN|with.dis|TAFFS|spin|NING|the|GOLD|en		1	2		1	2	1			1
	scar|LET|and|BLUE|and|GREEN|with.dis|TAFFS.SPIN|ning.the|GOLD|en		1	3		1	2	1			1
	SCAR|let|AND|blue|AND|green|WITH|dis|TAFFS|spin|NING|the|GOLD|en		1			3		4			1
	SCAR|let|AND|blue|AND|green|WITH|dis|TAFFS.SPIN|ning.the|GOLD|en			2		2	1	3	1		
	SCAR|let.and|BLUE|and|GREEN|with|DIS|taffs|SPIN|ning|THE.GOLD|en		1	2		1	1	2	1		1
	scar|LET|and|BLUE|and|GREEN|with|DIS|taffs|SPIN|ning.the|GOLD|en		2	1		2	1	2			2
	scar|LET|and|BLUE|and|GREEN|with.dis|TAFFS|spin|NING|the|GOLD|en		2	1		2	1	2			2
	scar|LET|and|BLUE|and|GREEN|with.dis|TAFFS.SPIN|ning|THE.GOLD|en		1	3		1	1	2	1		1
	SCAR|let|AND|blue|AND|green|WITH|dis|TAFFS.SPIN|ning|THE.GOLD|en			2		2		4	2		
	SCAR|let|AND|blue|AND|green|WITH|dis.taffs|SPIN|ning.the|GOLD|en		1	2		3	2	3			
	SCAR|let|AND|blue|AND|green|WITH|dis|TAFFS|spin.ning|THE.GOLD|en		1	2		3	1	4			
	SCAR|let.and|BLUE|and|GREEN|with|DIS|taffs|SPIN|ning|THE|gold|EN		2	1		2	1	3			2
	scar|LET|and|BLUE|and|GREEN|with|DIS|taffs|SPIN|ning|THE.GOLD|en		2	1		2		3	1		2
Flax for the gossiping looms, whose noisy shuttles within doors	FLAX|for.the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles.with|IN|doors	1		3		1	3				
	FLAX|for.the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles|WITH|in|DOORS	1	1	2		1	2	1			1
	FLAX|for.the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles.with|IN.DOORS			4			2				
	flax|FOR|the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles.with|IN.DOORS			3		1	2	1			
	flax|FOR|the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles.with|IN|doors			2		2	2	1			
	FLAX|for|THE|gos|SIP|ing|LOOMS|whose|NOI|sy|SHUT|tles.with|IN.DOORS		1	2		1	1	2			1
	FLAX|for|THE|gos|SIP|ing|LOOMS|whose|NOI|sy|SHUT|tles.with|IN|doors		1	1		2	1	2			1
	flax|FOR|the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles|WITH|in|DOORS		1	1		2	1	2			1
	FLAX|for|THE|gos|SIP|ing|LOOMS|whose|NOI|sy|SHUT|tles|WITH|in|DOORS		2			2		3			2
	FLAX|for.the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles|WITH.IN|doors			3		1	2	1	1		1
	flax|FOR|the|GOS|sip.ing|LOOMS|whose|NOI|sy|SHUT|tles|WITH.IN|doors			2		2	1	2	1		1
	FLAX|for|THE|gos|SIP|ing|LOOMS|whose|NOI|sy|SHUT|tles|WITH.IN|doors		1	1		2		3	1		2
	FLAX|for.the|GOS|sip.ing|LOOMS|whose|NOI|sy.shut|TLES|with.in|DOORS		2	4		2	1	1			1
Mingled their sounds with the whir of the wheels and the songs of the maidens.	MIN|gled.their|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID|ens	2		5			1				
	MIN|gled.their|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID.ENS			6				1			1
	MIN|gled|THEIR|sounds|WITH|the|WHIR|of|THE|wheels|AND|the|SONGS|of.the|MAID|ens			1		2	1	4			
	MIN|gled|THEIR|sounds|WITH|the|WHIR|of.the|WHEELS|and|THE|songs|OF|the|MAID|ens			1		2	1	4			
	MIN|gled.their|SOUNDS|with|THE|whir|OF|the|WHEELS|and|THE|songs|OF|the|MAID|ens			1		2	1	4			
	MIN|gled|THEIR|sounds|WITH|the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID|ens			3		1	3	2			
	MIN|gled.their|SOUNDS|with|THE|whir|OF|the|WHEELS|and.the|SONGS|of.the|MAID|ens			3		1	3	2			
	MIN|gled.their|SOUNDS|with.the|WHIR|of|THE|wheels|AND|the|SONGS|of.the|MAID|ens			3		1	3	2			
	MIN|gled.their|SOUNDS|with.the|WHIR|of.the|WHEELS|and|THE|songs|OF|the|MAID|ens			3		1	3	2			
	MIN|gled|THEIR|sounds|WITH|the|WHIR|of|THE|wheels|AND|the|SONGS|of|THE.MAID|ens			1		2		5	1		
	min|GLED|their|SOUNDS|with|THE|whir|OF|the|WHEELS|and|THE|songs|OF|the|MAID|ens		1			3		5			1
	MIN|gled|THEIR|sounds|WITH|the|WHIR|of.the|WHEELS|and.the|SONGS|of|THE.MAID|ens			3		1	2	3	1		
	MIN|gled.their|SOUNDS|with|THE|whir|OF|the|WHEELS|and.the|SONGS|of|THE.MAID|ens			3		1	2	3	1		
	MIN|gled.their|SOUNDS|with.the|WHIR|of|THE|wheels|AND|the|SONGS|of|THE.MAID|ens			3		1	2	3	1		
	min|GLED|their|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID|ens		1	4		1	3	1			1
	MIN|gled.their|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of|THE|maid|ENS		1	4		1	2	2			1
	min|GLED|their|SOUNDS|with|THE|whir|OF|the|WHEELS|and.the|SONGS|of.the|MAID|ens		1	2		2	2	3			1
	min|GLED|their|SOUNDS|with.the|WHIR|of|THE|wheels|AND|the|SONGS|of.the|MAID|ens		1	2		2	2	3			1
	min|GLED|their|SOUNDS|with.the|WHIR|of.the|WHEELS|and|THE|songs|OF|the|MAID|ens		1	2		2	2	3			1
	min|GLED|their|SOUNDS|with|THE|whir|OF|the|WHEELS|and.the|SONGS|of|THE.MAID|ens		1	2		2	1	4	1		1
	min|GLED|their|SOUNDS|with.the|WHIR|of|THE|wheels|AND|the|SONGS|of|THE.MAID|ens		1	2		2	1	4	1		1
	min|GLED|their|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID.ENS		1	5		1	2	2			2
Solemnly down the street came the parish priest, and the children	SOL|emn|LY|down|THE|street|CAME|the|PA|rish|PRIEST|and.the|CHIL|dren			1		1	1	2			
	SOL|emn|LY|down.the|STREET.CAME|the|PA|rish|PRIEST|and.the|CHIL|dren			3			2	1			
	SOL|emn|LY|down|THE|street|CAME|the|PA|rish|PRIEST|and|THE.CHIL|dren			1		1		3	1		
	SOL|emn|LY|down.the|STREET.CAME|the|PA|rish|PRIEST|and|THE.CHIL|dren			3			1	2	1		
	SOL|emn|LY|down|THE|street|CAME|the|PA|rish|PRIEST|and|THE|chil|DREN		1			2		4			1
	SOL|emn|LY|down.the|STREET.CAME|the|PA|rish|PRIEST|and|THE|chil|DREN		1	2		1	1	3			1
