			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
	NAUGHT|but.tra*|DI|tion.re*|MAINS|of.the|BEAU|ti|FUL*|vil*|LAGE*|of|GRAND|pré*		1		2	2	2
	NAUGHT|but.tra*|DI|tion.re*|MAINS|of.the|BEAU|ti|FUL*|vil.lage*|OF*|grand*|PRÉ		1		2	2	2
	NAUGHT|but|TRA.DI*|tion|RE.MAINS*|of.the|BEAU|ti.ful*|VIL|lage.of*|GRAND.PRÉ*			3	2	2	
	naught*|BUT*|tra|DI.TION*|re|MAINS|of.the|BEAU|ti|FUL*|vil*|LAGE*|of|GRAND|pré*		1			4	3
	naught*|BUT*|tra|DI.TION*|re|MAINS|of.the|BEAU|ti|FUL*|vil.lage*|OF*|grand*|PRÉ		1			4	3
	NAUGHT|but|TRA.DI*|tion|RE.MAINS*|of.the|BEAU|ti|FUL.VIL*|lage|OF*|grand*|PRÉ			2	1	4	1
	naught*|BUT*|tra|DI|tion.re*|MAINS|of.the|BEAU|ti|FUL*|vil*|LAGE*|of|GRAND|pré*		1		1	3	3
	naught*|BUT*|tra|DI|tion.re*|MAINS|of.the|BEAU|ti|FUL*|vil.lage*|OF*|grand*|PRÉ		1		1	3	3
	NAUGHT|but|TRA.DI*|tion|RE.MAINS*|of.the|BEAU|ti|FUL.VIL*|lage.of*|GRAND|pré*			2	2	3	1
	NAUGHT|but|TRA.DI*|tion|RE.MAINS*|of.the|BEAU|ti|FUL.VIL*|lage.of*|GRAND.PRÉ*			2	3	3	
	NAUGHT|but|TRA.DI*|tion|RE.MAINS*|of.the|BEAU|ti|FUL*|vil*|LAGE*|of|GRAND|pré*		1	2		4	2
	NAUGHT|but|TRA.DI*|tion|RE.MAINS*|of.the|BEAU|ti|FUL*|vil.lage*|OF*|grand*|PRÉ		1	2		4	2
Ye who believe in affection that hopes, and endures, and is patient,	ye|WHO|be|LIEVE|in.af*|FEC|tion|THAT|hopes*|AND*|en|DURES|and.is|PA|tient				1	1	1
	ye|WHO|be|LIEVE.IN*|af|FEC|tion|THAT|hopes*|AND*|en|DURES|and.is|PA|tient				1	1	1
	ye|WHO|be|LIEVE|in.af*|FEC|tion|THAT.HOPES*|and.en*|DURES|and.is|PA|tient				3		
	ye|WHO|be|LIEVE|in.af*|FEC|tion.that*|HOPES|and.en*|DURES|and.is|PA|tient				3		
	ye|WHO|be|LIEVE.IN*|af|FEC|tion|THAT.HOPES*|and.en*|DURES|and.is|PA|tient				3		
	ye|WHO|be|LIEVE.IN*|af|FEC|tion.that*|HOPES|and.en*|DURES|and.is|PA|tient				3		
	ye|WHO|be|LIEVE|in|AF.FEC*|tion|THAT|hopes*|AND*|en|DURES|and.is|PA|tient			1		2	1
	ye|WHO|be|LIEVE|in|AF.FEC*|tion|THAT.HOPES*|and.en*|DURES|and.is|PA|tient			1	2	1	
	ye|WHO|be|LIEVE|in.af*|FEC|tion|THAT.HOPES*|and|EN.DURES*|and.is|PA|tient			1	2	1	
	ye|WHO|be|LIEVE|in|AF.FEC*|tion.that*|HOPES|and.en*|DURES|and.is|PA|tient			1	2	1	
	ye|WHO|be|LIEVE|in.af*|FEC|tion.that*|HOPES|and|EN.DURES*|and.is|PA|tient			1	2	1	
	ye|WHO|be|LIEVE|in.af*|FEC.TION*|that|HOPES|and.en*|DURES|and.is|PA|tient			1	2	1	
	ye|WHO|be|LIEVE.IN*|af|FEC|tion|THAT.HOPES*|and|EN.DURES*|and.is|PA|tient			1	2	1	
	ye|WHO|be|LIEVE.IN*|af|FEC|tion.that*|HOPES|and|EN.DURES*|and.is|PA|tient			1	2	1	
	ye|WHO|be|LIEVE.IN*|af|FEC.TION*|that|HOPES|and.en*|DURES|and.is|PA|tient			1	2	1	
	ye.who|BE*|lieve*|IN|af|FEC|tion|THAT|hopes*|AND*|en|DURES|and.is|PA|tient		1			2	2
	ye|WHO|be|LIEVE|in|AF.FEC*|tion|THAT.HOPES*|and|EN.DURES*|and.is|PA|tient			2	1	2	
	ye|WHO|be|LIEVE|in|AF.FEC*|tion.that*|HOPES|and|EN.DURES*|and.is|PA|tient			2	1	2	
	ye|WHO|be|LIEVE|in.af*|FEC.TION*|that|HOPES|and|EN.DURES*|and.is|PA|tient			2	1	2	
	ye|WHO|be|LIEVE.IN*|af|FEC.TION*|that|HOPES|and|EN.DURES*|and.is|PA|tient			2	1	2	
	ye|WHO|be.lieve*|IN|af|FEC|tion|THAT|hopes*|AND*|en|DURES|and.is|PA|tient		1	1		1	2
	ye|WHO|be.lieve*|IN|af|FEC|tion|THAT.HOPES*|and.en*|DURES|and.is|PA|tient		1	1	2		1
	ye|WHO|be.lieve*|IN|af|FEC|tion.that*|HOPES|and.en*|DURES|and.is|PA|tient		1	1	2		1
Ye who believe in the beauty and strength of woman's devotion,	ye|WHO|be|LIEVE|in.the|BEAU|ty.and*|STRENGTH|of|WOM|an's.de*|VO|tion				2		
	ye|WHO|be|LIEVE|in.the|BEAU|ty.and*|STRENGTH|of|WOM|an's|DE.VO*|tion			1	1	1	
	ye|WHO|be|LIEVE|in.the|BEAU|ty.and*|STRENGTH|of|WOM.AN'S*|de|VO|tion			1	1	1	
	ye|WHO|be|LIEVE|in.the|BEAU.TY*|and|STRENGTH|of|WOM|an's.de*|VO|tion			1	1	1	
	ye|WHO|be|LIEVE|in.the|BEAU.TY*|and|STRENGTH|of|WOM|an's|DE.VO*|tion			2		2	
	ye|WHO|be|LIEVE|in.the|BEAU.TY*|and|STRENGTH|of|WOM.AN'S*|de|VO|tion			2		2	
	ye|WHO|be|LIEVE|in|THE*|beau*|TY*|and|STRENGTH|of|WOM|an's.de*|VO|tion		1		1	2	1
	ye|WHO|be|LIEVE|in.the|BEAU|ty.and*|STRENGTH|of|WOM|an's|DE*|vo*|TION*		1		1	2	1
	ye|WHO|be|LIEVE|in.the|BEAU|ty|AND*|strength*|OF*|wom*|AN'S*|de|VO|tion		1			3	2
	ye|WHO|be|LIEVE|in|THE*|beau*|TY*|and|STRENGTH|of|WOM|an's|DE.VO*|tion		1	1		3	1
	ye|WHO|be|LIEVE|in|THE*|beau*|TY*|and|STRENGTH|of|WOM.AN'S*|de|VO|tion		1	1		3	1
	ye|WHO|be|LIEVE|in.the|BEAU.TY*|and|STRENGTH|of|WOM|an's|DE*|vo*|TION*		1	1		3	1
List to the mournful tradition, still sung by the pines of the forest;	LIST|to.the|MOURN|ful.tra*|DI|tion|STILL.SUNG*|by.the|PINES|of.the|FOR|est				2		
	LIST|to.the|MOURN|ful.tra*|DI|tion|STILL|sung*|BY*|the|PINES|of.the|FOR|est				1	1	1
	LIST|to.the|MOURN|ful.tra*|DI.TION*|still*|SUNG|by.the|PINES|of.the|FOR|est				1	1	1
	LIST|to.the|MOURN|ful|TRA.DI*|tion|STILL.SUNG*|by.the|PINES|of.the|FOR|est			1	1	1	
	LIST|to.the|MOURN.FUL*|tra|DI|tion|STILL.SUNG*|by.the|PINES|of.the|FOR|est			1	1	1	
	LIST|to.the|MOURN|ful|TRA.DI*|tion|STILL|sung*|BY*|the|PINES|of.the|FOR|est			1		2	1
	LIST|to.the|MOURN.FUL*|tra|DI|tion|STILL|sung*|BY*|the|PINES|of.the|FOR|est			1		2	1
	LIST|to.the|MOURN.FUL*|tra|DI.TION*|still*|SUNG|by.the|PINES|of.the|FOR|est			1		2	1
	LIST|to.the|MOURN|ful|TRA*|di*|TION*|still*|SUNG|by.the|PINES|of.the|FOR|est		1			2	2
	LIST|to.the|MOURN|ful|TRA*|di.tion*|STILL|sung*|BY*|the|PINES|of.the|FOR|est		1			2	2
List to a Tale of Love in Acadie, home of the happy.	LIST|to.a|TALE|of|LOVE|in|ACADIE.HOME*|of.the|HAP|py				1		
	LIST|to.a|TALE|of|LOVE|in|ACADIE|home*|OF*|the|HAP|py					1	1
In the Acadian land, on the shores of the Basin of Minas,	IN|the|ACADIAN.LAND*|on.the|SHORES|of.the|BAS|in.of*|MI|nas				2		
	in.the|ACADIAN.LAND*|on.the|SHORES|of.the|BAS|in.of*|MI|nas				2		
	IN|the|ACADIAN|land*|ON*|the|SHORES|of.the|BAS|in.of*|MI|nas				1	1	1
	in|THE*|acadian*|LAND|on.the|SHORES|of.the|BAS|in.of*|MI|nas				1	1	1
	in.the|ACADIAN|land*|ON*|the|SHORES|of.the|BAS|in.of*|MI|nas				1	1	1
	IN|the|ACADIAN.LAND*|on.the|SHORES|of.the|BAS.IN*|of|MI|nas			1	1	1	
	in.the|ACADIAN.LAND*|on.the|SHORES|of.the|BAS.IN*|of|MI|nas			1	1	1	
	IN|the|ACADIAN|land*|ON*|the|SHORES|of.the|BAS.IN*|of|MI|nas			1		2	1
	in|THE*|acadian*|LAND|on.the|SHORES|of.the|BAS.IN*|of|MI|nas			1		2	1
	in.the|ACADIAN|land*|ON*|the|SHORES|of.the|BAS.IN*|of|MI|nas			1		2	1
	IN|the|ACADIAN|land*|ON*|the|SHORES|of|THE*|bas*|IN*|of|MI|nas		1			3	2
	in|THE*|acadian*|LAND|on.the|SHORES|of|THE*|bas*|IN*|of|MI|nas		1			3	2
	in.the|ACADIAN|land*|ON*|the|SHORES|of|THE*|bas*|IN*|of|MI|nas		1			3	2
	IN|the|ACADIAN|land*|ON*|the|SHORES|of.the|BAS|in|OF*|mi*|NAS*		1			3	2
	in|THE*|acadian*|LAND|on.the|SHORES|of.the|BAS|in|OF*|mi*|NAS*		1			3	2
	in.the|ACADIAN|land*|ON*|the|SHORES|of.the|BAS|in|OF*|mi*|NAS*		1			3	2
Distant, secluded, still, the little village of Grand-Pré	DIS|tant.se*|CLUD|ed|STILL|the|LIT|tle|VIL|lage.of*|GRAND|pré*	2			2		1
	DIS.TANT*|se|CLUD|ed|STILL|the|LIT|tle|VIL|lage|OF*|grand*|PRÉ					2	1
	DIS.TANT*|se|CLUD|ed|STILL|the|LIT|tle|VIL.LAGE*|of|GRAND|pré*					2	1
	DIS|tant.se*|CLUD|ed|STILL|the|LIT|tle|VIL|lage|OF*|grand*|PRÉ				1	1	1
	DIS|tant.se*|CLUD|ed|STILL|the|LIT|tle|VIL.LAGE*|of|GRAND|pré*				1	1	1
	DIS.TANT*|se|CLUD|ed|STILL|the|LIT|tle|VIL|lage.of*|GRAND|pré*				1	1	1
	DIS.TANT*|se|CLUD|ed|STILL|the|LIT|tle|VIL.LAGE*|of|GRAND.PRÉ*				1	2	
	DIS|tant.se*|CLUD|ed|STILL|the|LIT|tle|VIL.LAGE*|of|GRAND.PRÉ*				2	1	
	DIS.TANT*|se|CLUD|ed|STILL|the|LIT|tle|VIL|lage.of*|GRAND.PRÉ*				2	1	
	DIS|tant.se*|CLUD|ed|STILL|the|LIT|tle|VIL|lage.of*|GRAND.PRÉ*				3		
Lay in the fruitful valley. Vast meadows stretched to the eastward,	LAY|in.the|FRUIT|ful|VAL|ley|VAST.MEAD*|ows*|STRETCHED|to.the|EAST|ward				1		1
	LAY|in.the|FRUIT|ful|VAL|ley|VAST|mead.ows*|STRETCHED|to.the|EAST|ward		1				1
	LAY|in.the|FRUIT|ful|VAL.LEY*|vast*|MEAD|ows*|STRETCHED|to.the|EAST|ward					1	2
Giving the village its name, and pasture to flocks without number.	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with.out*|NUM|ber	2	1	1	3		1
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with|OUT.NUM*|ber				2	2	
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with|OUT.NUM*|ber				3	1	
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with|OUT.NUM*|ber				3	1	
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with|OUT.NUM*|ber				4		
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT.NUM*|ber			1	1	3	
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT.NUM*|ber			1	2	2	
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT.NUM*|ber			1	2	2	
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT.NUM*|ber			1	3	1	
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num*|BER*		1		1	3	1
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num*|BER*		1		2	2	1
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num*|BER*		1		2	2	1
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num.ber*		1	1	1	2	1
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with.out*|NUM|ber		1	1	1	2	1
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num*|BER*		1		3	1	1
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num.ber*		1	1	2	1	1
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS|ture.to*|FLOCKS|with.out*|NUM|ber		1	1	2	1	1
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num.ber*		1	1	2	1	1
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with.out*|NUM|ber		1	1	2	1	1
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS|ture.to*|FLOCKS|with|OUT|num.ber*		1	1	3		1
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS|ture|TO*|flocks*|WITH*|out*|NUM|ber		1			4	2
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS|ture|TO*|flocks*|WITH*|out*|NUM|ber		1		1	3	2
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS|ture|TO*|flocks*|WITH*|out*|NUM|ber		1		1	3	2
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num*|BER*		1	1		4	1
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS|ture|TO*|flocks*|WITH*|out*|NUM|ber		1		2	2	2
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num*|BER*		1	1	1	3	1
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num*|BER*		1	1	1	3	1
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num.ber*		1	2		3	1
	GIV.ING*|the|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with.out*|NUM|ber		1	2		3	1
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num*|BER*		1	1	2	2	1
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num.ber*		1	2	1	2	1
	GIV|ing.the*|VIL.LAGE*|its|NAME|and|PAS.TURE*|to|FLOCKS|with.out*|NUM|ber		1	2	1	2	1
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num.ber*		1	2	1	2	1
	GIV.ING*|the|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with.out*|NUM|ber		1	2	1	2	1
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with|OUT|num.ber*		1	2	2	1	1
	GIV|ing.the*|VIL|lage.its*|NAME|and|PAS.TURE*|to|FLOCKS|with.out*|NUM|ber		1	2	2	1	1
Dikes, that the hands of the farmers had raised with labor incessant,	DIKES|that.the|HANDS|of.the|FARM|ers.had*|RAISED|with|LA|bor.in*|CES|sant	2			2		
	DIKES|that.the|HANDS|of.the|FARM|ers|HAD.RAISED*|with|LA|bor.in*|CES|sant				2		
	DIKES|that.the|HANDS|of.the|FARM|ers|HAD.RAISED*|with|LA|bor|IN.CES*|sant			1	1	1	
	DIKES|that.the|HANDS|of.the|FARM|ers|HAD.RAISED*|with|LA.BOR*|in|CES|sant			1	1	1	
	DIKES|that.the|HANDS|of.the|FARM|ers.had*|RAISED|with|LA|bor|IN.CES*|sant			1	1	1	
	DIKES|that.the|HANDS|of.the|FARM|ers.had*|RAISED|with|LA.BOR*|in|CES|sant			1	1	1	
	DIKES|that.the|HANDS|of.the|FARM.ERS*|had|RAISED|with|LA|bor.in*|CES|sant			1	1	1	
	DIKES|that.the|HANDS|of.the|FARM.ERS*|had|RAISED|with|LA|bor|IN.CES*|sant			2		2	
	DIKES|that.the|HANDS|of.the|FARM.ERS*|had|RAISED|with|LA.BOR*|in|CES|sant			2		2	
	DIKES|that.the|HANDS|of.the|FARM|ers|HAD.RAISED*|with|LA|bor|IN*|ces.sant*		1		1	1	1
	DIKES|that.the|HANDS|of.the|FARM|ers.had*|RAISED|with|LA|bor|IN*|ces.sant*		1		1	1	1
	DIKES|that.the|HANDS|of.the|FARM|ers|HAD|raised*|WITH*|la*|BOR*|in|CES|sant		1			2	2
	DIKES|that.the|HANDS|of.the|FARM.ERS*|had|RAISED|with|LA|bor|IN*|ces.sant*		1	1		2	1
	DIKES|that.the|HANDS|of|THE*|farm*|ERS*|had|RAISED|with|LA|bor|IN.CES*|sant		1	1		3	1
	DIKES|that.the|HANDS|of|THE*|farm*|ERS*|had|RAISED|with|LA.BOR*|in|CES|sant		1	1		3	1
Shut out the turbulent tides; but at stated seasons the flood-gates	SHUT|out.the|TUR|bu.lent*|TIDES|but.at|STAT|ed|SEA|sons.the*|FLOOD|gates*	1		1	1		1
	SHUT|out.the|TUR|bu.lent*|TIDES|but.at|STAT|ed|SEA|sons|THE*|flood*|GATES			1		1	1
	SHUT|out.the|TUR|bu.lent*|TIDES|but.at|STAT|ed|SEA|sons.the*|FLOOD.GATES*			1	2		
	SHUT|out.the|TUR|bu|LENT.TIDES*|but.at|STAT|ed|SEA|sons|THE*|flood*|GATES				1	2	1
	SHUT|out.the|TUR|bu|LENT.TIDES*|but.at|STAT|ed|SEA|sons.the*|FLOOD|gates*				2	1	1
	SHUT|out.the|TUR|bu|LENT.TIDES*|but.at|STAT|ed|SEA|sons.the*|FLOOD.GATES*				3	1	
	SHUT|out.the|TUR|bu.lent*|TIDES|but.at|STAT|ed|SEA.SONS*|the|FLOOD.GATES*			2	1	1	
	SHUT|out.the|TUR|bu|LENT*|tides*|BUT*|at|STAT|ed|SEA|sons|THE*|flood*|GATES					3	2
	SHUT|out.the|TUR|bu|LENT*|tides*|BUT*|at|STAT|ed|SEA|sons.the*|FLOOD|gates*				1	2	2
	SHUT|out.the|TUR|bu|LENT*|tides*|BUT*|at|STAT|ed|SEA|sons.the*|FLOOD.GATES*				2	2	1
	SHUT|out.the|TUR|bu|LENT.TIDES*|but.at|STAT|ed|SEA.SONS*|the|FLOOD.GATES*			1	2	2	
Opened, and welcomed the sea to wander at will o'er the meadows.	OPE|ned.and*|WEL|comed.the*|SEA|to|WAN|der.at*|WILL*|o'er.the|MEAD|ows* [*Bounded]	2			3	1	1
	OPE|ned.and*|WEL|comed.the*|SEA|to|WAN|der|AT|will|O'ER*|the|MEAD.OWS				2	1	
	OPE|ned.and*|WEL.COMED*|the|SEA|to|WAN|der|AT|will|O'ER*|the|MEAD.OWS			1	1	2	
	OPE.NED*|and|WEL|comed.the*|SEA|to|WAN|der|AT|will|O'ER*|the|MEAD.OWS			1	1	2	
	OPE.NED*|and|WEL.COMED*|the|SEA|to|WAN|der|AT|will|O'ER*|the|MEAD.OWS			2		3	
	OPE|ned|AND*|wel*|COMED*|the|SEA|to|WAN|der|AT|will|O'ER*|the|MEAD.OWS		1			3	1
	ope*|NED*|and|WEL|comed.the*|SEA|to|WAN|der|AT|will|O'ER*|the|MEAD.OWS		1		1	2	1
West and south there were fields of flax, and orchards and cornfields	WEST|and|SOUTH|there.were|FIELDS|of|FLAX|and|OR|chards.and*|CORN|fields*	2			1		1
	WEST|and|SOUTH|there.were|FIELDS|of|FLAX|and|OR|chards|AND*|corn*|FIELDS					1	1
	WEST|and|SOUTH|there.were|FIELDS|of|FLAX|and|OR|chards.and*|CORN.FIELDS*			1	1		
	WEST|and|SOUTH|there.were|FIELDS|of|FLAX|and|OR.CHARDS*|and|CORN.FIELDS*			2		1	
Spreading afar and unfenced o'er the plain; and away to the northward	SPREAD|ing.af*|AR|and.un*|FENCED|o'er.the|PLAIN|and.aw*|AY|to.the|NORTH|ward	2			3		
	SPREAD.ING*|af|AR|and.un*|FENCED|o'er.the|PLAIN|and.aw*|AY|to.the|NORTH|ward				2	1	
	SPREAD.ING*|af|AR|and|UN.FENCED*|o'er.the|PLAIN|and.aw*|AY|to.the|NORTH|ward			1	1	2	
	SPREAD.ING*|af|AR|and.un*|FENCED|o'er.the|PLAIN|and|AW.AY*|to.the|NORTH|ward			1	1	2	
	SPREAD|ing.af*|AR|and|UN.FENCED*|o'er.the|PLAIN|and.aw*|AY|to.the|NORTH|ward			1	2	1	
	SPREAD|ing.af*|AR|and.un*|FENCED|o'er.the|PLAIN|and|AW.AY*|to.the|NORTH|ward			1	2	1	
	SPREAD.ING*|af|AR|and.un*|FENCED|o'er|THE*|plain*|AND*|aw|AY|to.the|NORTH|ward				1	3	1
	SPREAD|ing.af*|AR|and.un*|FENCED|o'er|THE*|plain*|AND*|aw|AY|to.the|NORTH|ward				2	2	1
	SPREAD.ING*|af|AR|and|UN.FENCED*|o'er.the|PLAIN|and|AW.AY*|to.the|NORTH|ward			2		3	
	SPREAD|ing.af*|AR|and|UN.FENCED*|o'er.the|PLAIN|and|AW.AY*|to.the|NORTH|ward			2	1	2	
	SPREAD|ing|AF*|ar*|AND*|un|FENCED|o'er.the|PLAIN|and.aw*|AY|to.the|NORTH|ward		1		1	2	1
	SPREAD.ING*|af|AR|and|UN.FENCED*|o'er|THE*|plain*|AND*|aw|AY|to.the|NORTH|ward			1		4	1
	SPREAD|ing.af*|AR|and|UN.FENCED*|o'er|THE*|plain*|AND*|aw|AY|to.the|NORTH|ward			1	1	3	1
	SPREAD|ing|AF*|ar*|AND*|un|FENCED|o'er.the|PLAIN|and|AW.AY*|to.the|NORTH|ward		1	1		3	1
	SPREAD|ing|AF*|ar*|AND*|un|FENCED|o'er|THE*|plain*|AND*|aw|AY|to.the|NORTH|ward		1			4	2
Blomidon rose, and the forests old, and aloft on the mountains	blomidon*|ROSE|and.the|FORE|sts|OLD|and.alo*|FT|on.the|MOUN|tains				1		1
	BLOMIDON.ROSE*|and.the|FORE|sts|OLD|and.alo*|FT|on.the|MOUN|tains				2		
	blomidon*|ROSE|and.the|FORE|sts|OLD|and|ALO.FT*|on.the|MOUN|tains			1		1	1
	BLOMIDON.ROSE*|and.the|FORE|sts|OLD|and|ALO.FT*|on.the|MOUN|tains			1	1	1	
	blomidon*|ROSE|and.the|FORE|sts|OLD|and|ALO*|ft*|ON*|the|MOUN|tains		1			2	2
	BLOMIDON.ROSE*|and.the|FORE|sts|OLD|and|ALO*|ft*|ON*|the|MOUN|tains		1		1	2	1
Sea-fogs pitched their tents, and mists from the mighty Atlantic	SEA|fogs*|PITCHED|their|TENTS|and|MISTS|from.the|MIG|hty.at*|LA|ntic	2			1		1
	SEA|fogs*|PITCHED|their|TENTS|and|MISTS|from.the|MIG|hty|AT.LA*|ntic			1		1	1
	SEA|fogs*|PITCHED|their|TENTS|and|MISTS|from.the|MIG.HTY*|at|LA|ntic			1		1	1
	SEA|fogs*|PITCHED|their|TENTS|and|MISTS|from|THE*|mig*|HTY*|at|LA|ntic		1			2	2
	SEA|fogs*|PITCHED|their|TENTS|and|MISTS|from.the|MIG|hty|AT*|la*|NTIC*		1			2	2
Looked on the happy valley, but ne'er from their station descended.	LOOKED|on.the|HAP|py|VAL|ley.but*|NE'ER|from.their|STA|tion.de*|SCEND|ed	2			2		
	LOOKED|on.the|HAP|py|VAL.LEY*|but|NE'ER|from.their|STA|tion.de*|SCEND|ed				1	1	
	LOOKED|on.the|HAP|py|VAL.LEY*|but|NE'ER|from.their|STA|tion|DE.SCEND*|ed			1		2	
	LOOKED|on.the|HAP|py|VAL.LEY*|but|NE'ER|from.their|STA.TION*|de|SCEND|ed			1		2	
	LOOKED|on.the|HAP|py|VAL|ley.but*|NE'ER|from.their|STA|tion|DE.SCEND*|ed			1	1	1	
	LOOKED|on.the|HAP|py|VAL|ley.but*|NE'ER|from.their|STA.TION*|de|SCEND|ed			1	1	1	
	LOOKED|on.the|HAP|py|VAL.LEY*|but|NE'ER|from|THEIR*|sta*|TION*|de|SCEND|ed		1			3	1
	LOOKED|on.the|HAP|py|VAL.LEY*|but|NE'ER|from.their|STA|tion|DE*|scend*|ED*		1			3	1
	LOOKED|on.the|HAP|py|VAL|ley.but*|NE'ER|from|THEIR*|sta*|TION*|de|SCEND|ed		1		1	2	1
	LOOKED|on.the|HAP|py|VAL|ley.but*|NE'ER|from.their|STA|tion|DE*|scend*|ED*		1		1	2	1
There, in the midst of its farms, reposed the Acadian village.	there|IN|the|MIDST|of.its|FARMS.REPOSED*|the|ACADIAN.VIL*|lage				2		
	there|IN|the|MIDST|of.its|FARMS|reposed*|THE*|acadian*|VIL|lage					1	2
	there|IN|the|MIDST|of|ITS*|farms*|REPOSED|the|ACADIAN.VIL*|lage				1	1	1
	there|IN|the|MIDST|of.its|FARMS.REPOSED*|the|ACADIAN|vil.lage*		1		1		1
Strongly built were the houses, with frames of oak and of hemlock,	STRONG|ly|BUILT|were.the|HOUS|es.with*|FRAMES|of|OAK|and.of|HEM|lock*	2			1		1
	STRONG|ly|BUILT|were.the|HOUS|es.with*|FRAMES|of|OAK|and.of|HEM.LOCK*			1	1		
	STRONG|ly|BUILT|were.the|HOUS.ES*|with|FRAMES|of|OAK|and.of|HEM|lock*			1		1	1
	STRONG|ly|BUILT|were.the|HOUS.ES*|with|FRAMES|of|OAK|and.of|HEM.LOCK*			2		1	
	STRONG|ly|BUILT|were|THE*|hous*|ES*|with|FRAMES|of|OAK|and.of|HEM|lock*		1			2	2
	STRONG|ly|BUILT|were|THE*|hous*|ES*|with|FRAMES|of|OAK|and.of|HEM.LOCK*		1	1		2	1
	STRONG|ly|BUILT|were.the|HOUS|es|WITH*|frames*|OF*|oak*|AND*|of|HEM|lock*					3	3
	STRONG|ly|BUILT|were.the|HOUS|es|WITH*|frames*|OF*|oak*|AND*|of|HEM.LOCK*			1		3	2
Such as the peasants of Normandy built in the reign of the Henries.	such|AS*|the|PEAS.ANTS*|of|NOR|man.dy*|BUILT|in.the|REIGN|of.the|HENRIES			1		2	
	SUCH*|as.the|PEAS.ANTS*|of|NOR|man.dy*|BUILT|in.the|REIGN|of.the|HENRIES			1		2	
	such|AS*|the|PEAS|ants.of*|NOR|man.dy*|BUILT|in.the|REIGN|of.the|HENRIES			1	1	1	
	SUCH*|as.the|PEAS|ants.of*|NOR|man.dy*|BUILT|in.the|REIGN|of.the|HENRIES			1	1	1	
	such|AS*|the|PEAS.ANTS*|of|NOR|man|DY*|built*|IN|the|REIGN|of.the|HENRIES					3	1
	SUCH*|as.the|PEAS.ANTS*|of|NOR|man|DY*|built*|IN|the|REIGN|of.the|HENRIES					3	1
	such|AS*|the|PEAS|ants.of*|NOR|man|DY*|built*|IN|the|REIGN|of.the|HENRIES				1	2	1
